,hz,cf,power_dBm,dBm,corrected_dBm
0,50000000.0,97.0,-30.0,-21.99,-21.330299999999998
1,100000000.0,95.0,-30.0,-32.66,-31.026999999999994
2,500000000.0,94.5,-30.0,-30.23,-28.567349999999998
3,1000000000.0,94.0,-30.0,-30.28,-28.4632
4,2000000000.0,93.5,-30.0,-30.29,-28.32115
5,3000000000.0,93.0,-30.0,-30.33,-28.2069
6,4000000000.0,92.5,-30.0,-30.31,-28.03675
7,5000000000.0,92.0,-30.0,-30.28,-27.8576
8,6000000000.0,91.5,-30.0,-30.33,-27.75195
9,7000000000.0,91.0,-30.0,-30.32,-27.5912
10,8000000000.0,91.0,-30.0,-30.57,-27.8187
11,9000000000.0,91.0,-30.0,-30.68,-27.9188
12,10000000000.0,91.0,-30.0,-30.64,-27.8824
13,11000000000.0,91.0,-30.0,-30.79,-28.0189
14,12000000000.0,91.5,-30.0,-30.78,-28.163700000000002
15,13000000000.0,92.0,-30.0,-30.38,-27.9496
16,14000000000.0,92.0,-30.0,-30.26,-27.8392
17,15000000000.0,93.5,-30.0,-30.32,-28.349200000000003
18,16000000000.0,96.0,-30.0,-30.25,-29.04
19,17000000000.0,96.0,-30.0,-30.05,-28.848
20,18000000000.0,98.5,-30.0,-30.01,-29.55985
