Designator,Mid X,Mid Y,Rotation,Layer
C1,103.886,-79.248,0.0,top
C10,116.459,-81.026,180.0,top
C2,83.82,-88.011,180.0,top
C3,103.886,-80.899,0.0,top
C4,120.3452,-81.026,0.0,top
C5,108.966,-83.693,90.0,top
C6,103.124,-83.774,270.0,top
C7,107.0864,-77.3684,0.0,top
C8,107.089,-75.2094,0.0,top
C9,95.9612,-85.6234,180.0,top
D1,103.251,-88.265,180.0,top
D2,110.6424,-57.912,270.0,top
D3,108.585,-57.912,270.0,top
D4,126.238,-78.8185,270.0,top
D5,109.22,-62.23,180.0,top
FB1,87.63,-88.011,0.0,top
J1,83.206,-80.01,270.0,top
J2,136.988669,-78.448,90.0,top
J3,92.7,-89.398,90.0,top
J4,140.467,-91.948,270.0,top
J5,118.571,-89.096,0.0,top
J6,120.777,-62.611,180.0,top
J7,91.542,-64.897,270.0,top
J8,102.113,-62.179,180.0,top
R1,100.584,-86.297,270.0,top
R10,130.556,-59.563,0.0,top
R2,82.169,-73.533,180.0,top
R3,100.076,-71.247,90.0,top
R4,85.471,-73.533,0.0,top
R5,98.298,-71.247,90.0,top
R6,92.012,-84.328,180.0,top
R7,130.683,-67.183,180.0,top
R8,133.35,-91.567,90.0,top
R9,130.556,-63.373,0.0,top
RV1,89.789,-81.3562,270.0,top
RV2,83.757,-86.36,180.0,top
RV3,89.789,-78.359,90.0,top
U1,97.028,-78.359,180.0,top
U3,119.253,-77.343,0.0,top
U4,106.045,-83.947,90.0,top
Y1,104.394,-76.2508,90.0,top
