Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.33u 50V X7R,
C2,0805,1,0.1u 10V X7R,
C3,2220,1,22u 50V X7S,
C4,0805,1,DNI,
F1,2920,1,Polyfuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380_Pad,4,MountingHole_Pad,
"J1, J10, J11, J12",SMA_Molex_73251-2200_Horizontal,4,Conn_Coaxial,
"J13, J3",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
"J14, J15, J2, J4, J5, J6",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02,
J8,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Conn_01x02,
J9,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DB25_Male_MountingHoles,
"JP1, JP2",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,SolderJumper_2_Bridged,
"R1, R2",0603,2,33,
"R3, R4, R5",0603,3,DNI,
U1,SOT-89-3,1,L78L05_SOT89,
